trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
987,False,"{'a': 0.5, 'e': 0.13917822123048373}",20,0,-23.19023022246893,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
988,False,"{'a': 0.5, 'e': 0.138900142958987}",20,11,-7.490847629254486,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
989,False,"{'a': 0.5, 'e': 0.13862262028824732}",25,0,-68.8536997227055,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
990,False,"{'a': 0.5, 'e': 0.13834565210817362}",20,10,-6.086792032638339,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
991,False,"{'a': 0.5, 'e': 0.13806923731089282}",25,17,12.4285577229859,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
992,False,"{'a': 0.5, 'e': 0.13779337479074535}",20,15,10.28976046880533,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
993,False,"{'a': 0.5, 'e': 0.13751806344428075}",25,11,-17.01941580703442,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
994,False,"{'a': 0.5, 'e': 0.13724330217025332}",25,7,-30.596737148877267,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
995,False,"{'a': 0.5, 'e': 0.13696908986961753}",30,16,12.867939072688566,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
996,False,"{'a': 0.5, 'e': 0.13669542544552385}",30,18,8.39784030057961,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
997,False,"{'a': 0.5, 'e': 0.13642230780331424}",25,9,6.419414661914557,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
998,False,"{'a': 0.5, 'e': 0.1361497358505177}",25,7,23.998378424195657,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
999,False,"{'a': 0.5, 'e': 0.13587770849684613}",20,10,-35.36081248012436,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
1000,False,"{'a': 0.5, 'e': 0.1356062246541897}",30,11,25.859877533317867,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1001,False,"{'a': 0.5, 'e': 0.1353352832366127}",30,17,-4.803889885213414,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
1002,False,"{'a': 0.5, 'e': 0.13506488316034906}",20,9,18.08565012428609,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1003,False,"{'a': 0.5, 'e': 0.1347950233437982}",30,17,20.75049844554915,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1004,False,"{'a': 0.5, 'e': 0.1345257027075204}",20,14,10.650631048150704,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1005,False,"{'a': 0.5, 'e': 0.13425692017423285}",25,4,23.96987231878239,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
1006,False,"{'a': 0.5, 'e': 0.13398867466880493}",20,11,1.4202280050852938,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1007,False,"{'a': 0.5, 'e': 0.1337209651182544}",20,13,14.444488867975142,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1008,False,"{'a': 0.5, 'e': 0.1334537904517426}",20,10,18.75634451059504,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1009,False,"{'a': 0.5, 'e': 0.1331871496005706}",20,12,12.249722986999956,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1010,False,"{'a': 0.5, 'e': 0.13292104149817452}",20,8,7.054611649210533,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1011,False,"{'a': 0.5, 'e': 0.13265546508012172}",30,20,7.392685276656606,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1012,False,"{'a': 0.5, 'e': 0.13239041928410605}",20,14,11.854314834574078,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1013,False,"{'a': 0.5, 'e': 0.1321259030499441}",25,7,12.899524774298591,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
1014,False,"{'a': 0.5, 'e': 0.13186191531957048}",20,6,24.400553867690284,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1015,False,"{'a': 0.5, 'e': 0.131598455037034}",25,7,16.209707602212212,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1016,False,"{'a': 0.5, 'e': 0.13133552114849303}",35,18,30.86028180703357,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1017,False,"{'a': 0.5, 'e': 0.13107311260221188}",20,0,6.893523950954069,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1018,False,"{'a': 0.5, 'e': 0.13081122834855582}",20,0,-35.99847164816025,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
1019,False,"{'a': 0.5, 'e': 0.13054986733998764}",25,12,7.008521637773461,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
1020,False,"{'a': 0.5, 'e': 0.13028902853106283}",35,22,9.560238781030968,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1021,False,"{'a': 0.5, 'e': 0.1300287108784259}",30,7,30.45435379048398,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
1022,False,"{'a': 0.5, 'e': 0.1297689133408058}",25,18,11.402382341385016,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1023,False,"{'a': 0.5, 'e': 0.12950963487901218}",25,14,4.881241847367154,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1024,False,"{'a': 0.5, 'e': 0.12925087445593067}",25,15,17.47813967983928,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1025,False,"{'a': 0.5, 'e': 0.1289926310365194}",20,4,25.422457669974545,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1026,False,"{'a': 0.5, 'e': 0.12873490358780423}",25,8,22.137950290965062,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
1027,False,"{'a': 0.5, 'e': 0.12847769107887502}",20,0,20.842359502014162,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1028,False,"{'a': 0.5, 'e': 0.1282209924808815}",20,7,21.801955544301123,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1029,False,"{'a': 0.5, 'e': 0.1279648067670288}",35,18,30.00158391015431,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1030,False,"{'a': 0.5, 'e': 0.12770913291257383}",20,14,9.646146737547685,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1031,False,"{'a': 0.5, 'e': 0.12745396989482075}",25,20,10.86633983976445,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1032,False,"{'a': 0.5, 'e': 0.1271993166931172}",30,20,21.06445703796237,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1033,False,"{'a': 0.5, 'e': 0.12694517228885002}",20,1,-1.7445125921889582,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
1034,False,"{'a': 0.5, 'e': 0.1266915356654413}",25,1,30.57571004122936,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
1035,False,"{'a': 0.5, 'e': 0.1264384058083441}",25,13,13.72871238236017,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1036,False,"{'a': 0.5, 'e': 0.12618578170503877}",25,14,-42.0566074003574,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
1037,False,"{'a': 0.5, 'e': 0.12593366234502845}",20,10,7.697455151232842,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1038,False,"{'a': 0.5, 'e': 0.1256820467198355}",20,12,11.842607319085026,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1039,False,"{'a': 0.5, 'e': 0.12543093382299692}",30,16,-18.157381982234106,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
1040,False,"{'a': 0.5, 'e': 0.12518032265006093}",20,1,-5.558264489022139,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
1041,False,"{'a': 0.5, 'e': 0.12493021219858241}",30,2,27.58076771373803,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 0}",1
